,moped_component_id,substantial_completion_date_x,pre_annualized_crash_rate,post_annualized_crash_rate
1087,1321,2020-01-31 06:00:00+00:00,0.2064519631337704,0.46731554284950133
1088,1322,2020-01-31 06:00:00+00:00,0.20035158111014043,0.4871166335601482
1089,1323,2017-08-30 05:00:00+00:00,0.2745375994567072,0.2879086259605165
1090,1324,2017-08-30 05:00:00+00:00,0.37133682953072444,0.2637927213934567
1091,1325,2020-08-11 05:00:00+00:00,0.22585216293509905,
1092,1326,2020-08-11 05:00:00+00:00,0.5997126633372101,0.5380885151310539
1093,1327,2020-08-11 05:00:00+00:00,0.3050847457627119,0.9850545005056747
1094,1329,2020-08-11 05:00:00+00:00,0.1886422139757613,0.5634643283437576
1095,1330,2017-08-30 05:00:00+00:00,0.34949500925355514,0.4451327883004113
1096,1331,2017-08-30 05:00:00+00:00,0.3200970507447184,0.3514377637236527
1097,1332,2017-08-30 05:00:00+00:00,0.26244723211879883,
1098,1333,2017-08-30 05:00:00+00:00,0.2606964992027525,0.32902018948451733
1099,1334,2017-08-30 05:00:00+00:00,0.28270225139838967,0.3433257874247041
1100,1335,2017-08-30 05:00:00+00:00,0.32421622672376793,0.35380337459347044
1101,1336,2017-08-30 05:00:00+00:00,0.2847673631997087,0.3600545575836033
1102,1337,2019-01-17 06:00:00+00:00,0.200138917026018,0.32924685626718353
1103,1338,2019-01-17 06:00:00+00:00,0.20544879829297075,0.36849008063760635
1104,1339,2018-08-01 05:00:00+00:00,0.3874988948810892,0.6158061116965227
1105,1340,2018-08-01 05:00:00+00:00,0.24053384079846454,0.3526204552123896
1106,1341,2018-08-01 05:00:00+00:00,0.2413974889036161,0.3429456489323153
1107,1342,2018-08-01 05:00:00+00:00,0.23966574906210975,0.3456548370517947
1108,1343,2018-08-01 05:00:00+00:00,0.2405084856867647,0.34393609823738086
1109,1344,2018-08-01 05:00:00+00:00,0.24574104481537468,0.35044695064041886
1110,1345,2018-08-01 05:00:00+00:00,0.2456378913279667,0.3460414440869019
1111,1346,2018-08-01 05:00:00+00:00,0.1826668611556815,0.48762307392779664
1112,1347,2018-08-01 05:00:00+00:00,0.2394550034620487,0.3465041267431932
1113,1348,2018-10-22 05:00:00+00:00,0.24120922515425314,0.44127521326482017
1114,1349,2018-10-08 05:00:00+00:00,0.244257367462305,0.3345101512055256
1115,1350,2018-11-29 06:00:00+00:00,0.23600179924501294,0.3577771648489317
1116,1351,2018-10-01 05:00:00+00:00,0.291353087809059,0.4262031460785046
1117,1352,2018-08-15 05:00:00+00:00,0.4246247248340931,0.46463592143943444
1118,1353,2018-08-15 05:00:00+00:00,0.23274584875502477,0.42682897139379183
1119,1354,2018-09-11 05:00:00+00:00,0.2633087339193321,0.3528929638433233
1120,1358,2019-07-11 05:00:00+00:00,0.2380706661959208,
1121,1360,2019-07-11 05:00:00+00:00,0.24379119503851823,0.4697195400327936
1122,1363,2019-07-11 05:00:00+00:00,0.26732551451018083,0.39934715738141974
1123,1364,2019-07-11 05:00:00+00:00,0.2216137583684021,0.3892590802826283
1124,1367,2019-07-11 05:00:00+00:00,0.21340502872529601,0.40459230901762966
1125,1369,2019-07-11 05:00:00+00:00,0.1945501111905153,
1126,1370,2019-07-11 05:00:00+00:00,0.22308630155061654,0.454026683078273
1127,1371,2018-11-30 06:00:00+00:00,0.220420103646009,0.3950159941852095
1128,1372,2018-10-26 05:00:00+00:00,0.23163604675624774,0.3499421154383544
1129,1373,2018-10-01 05:00:00+00:00,0.22436527322602004,0.3282906628138693
1130,1374,2018-10-01 05:00:00+00:00,0.24814854333203407,0.35128528404484544
1131,1375,2018-10-01 05:00:00+00:00,0.25035375000973625,0.40223925113568576
1132,1376,2050-01-01 06:00:00+00:00,0.027942149613858998,
1133,1377,2018-10-01 05:00:00+00:00,0.1864273409753089,
1134,1378,2018-09-11 05:00:00+00:00,0.2529788530715417,0.35032704117654895
1135,1379,2018-10-22 05:00:00+00:00,0.271706044323482,0.36911605514244883
1136,1380,2018-10-08 05:00:00+00:00,0.22857984009690077,0.3959666014586671
1137,1381,2021-11-12 06:00:00+00:00,0.189981360690668,0.9148874115376368
1138,1382,2021-11-12 06:00:00+00:00,0.1667975959748072,1.0846325167037862
1139,1383,2021-11-12 06:00:00+00:00,0.18906426064125054,0.9173040700360526
