,moped_unique_id,annualized_volume_before,annualized_volume_after,annualized_volume_delta,inrix_id,name,line_geometry,substantial_completion_date,component_name
10,37,0.0,1501804.265759312,1501804.265759312,30.3346_-97.7492,Allandale Road & Shoal Creek Boulevard,"LINESTRING (620246.9612014344 3356528.536285932, 620246.826755553 3356527.170691973, 620246.4283892611 3356525.857496703, 620245.7815045718 3356524.647302337, 620244.910971084 3356523.586603582, 620243.850184217 3356522.716003798, 620242.6400187399 3356522.069205889, 620241.3268331747 3356521.670884314, 620239.9612237219 3356521.536338825, 620238.5955320866 3356521.670801932, 620237.2824058995 3356522.069201348, 620236.0722043123 3356522.716020547, 620235.0114451726 3356523.586611714, 620234.1408811096 3356524.64728539, 620233.4940330941 3356525.857511117, 620233.0957398654 3356527.170677324, 620232.9611721769 3356528.536297276, 620233.0957146736 3356529.902002898, 620233.4940835973 3356531.215086814, 620234.1409691889 3356532.425280431, 620235.0115017111 3356533.486089155, 620236.0721932412 3356534.356576214, 620237.2824525852 3356535.003485325, 620238.59554051 3356535.401805407, 620239.9612443612 3356535.536351844, 620241.3268393835 3356535.401777074, 620242.639962939 3356535.00348901, 620243.8501648447 3356534.356559735, 620244.9109225058 3356533.486080253, 620245.7814882158 3356532.425296586, 620246.4283372776 3356531.215071545, 620246.8267281455 3356529.901906831, 620246.9612014344 3356528.536285932)",2020-02-06 06:00:00+00:00,Intersection
11,48,0.0,512281.31267409475,512281.31267409475,30.2544_-97.7168,East Cesar Chavez Street & Pedernales Street,"LINESTRING (623460.9461783518 3347668.006389713, 623460.8116735672 3347666.640759951, 623460.413305171 3347665.327572146, 623459.7663790402 3347664.117431423, 623458.8958723883 3347663.056618464, 623457.8350980724 3347662.186076863, 623456.6249586439 3347661.539298731, 623455.3117497221 3347661.140858974, 623453.9461016357 3347661.006403329, 623452.5804966388 3347661.140957748, 623451.267340885 3347661.539239147, 623450.0571313594 3347662.186078087, 623448.9964328955 3347663.056617625, 623448.125845189 3347664.117398785, 623447.4790269033 3347665.327568796, 623447.0806539549 3347666.640742337, 623446.9461146125 3347668.006439038, 623447.0806210935 3347669.372068575, 623447.4789921441 3347670.685145027, 623448.1258217094 3347671.895394743, 623448.9964248267 3347672.956207932, 623450.0571037543 3347673.826636787, 623451.2673371002 3347674.473526147, 623452.5805457726 3347674.871854651, 623453.9460946657 3347675.006419924, 623455.3117941783 3347674.871866817, 623456.6249485284 3347674.473585945, 623457.8351571553 3347673.826747752, 623458.8958566155 3347672.956098242, 623459.7664434996 3347671.895428742, 623460.4132640797 3347670.685148588, 623460.8116372788 3347669.372086304, 623460.9461783518 3347668.006389713)",2015-10-08 05:00:00+00:00,Intersection
12,59,0.0,1461038.4734513273,1461038.4734513273,30.2448_-97.7303,East Riverside Drive & South Lakeshore Boulevard,"LINESTRING (622162.9312185547 3346597.885664678, 622162.7966281511 3346596.520059734, 622162.3983486809 3346595.206930761, 622161.7515037403 3346593.996656951, 622160.8808812064 3346592.935956846, 622159.82019069 3346592.06544158, 622158.6099577957 3346591.418593805, 622157.296771666 3346591.020207524, 622155.9311755016 3346590.885699499, 622154.5655595809 3346591.02019901, 622153.25242923 3346591.418528516, 622152.0421892389 3346592.065400606, 622150.9814056662 3346592.9359528, 622150.110870252 3346593.996723503, 622149.4640460328 3346595.206964735, 622149.0657041412 3346596.520067846, 622148.9312267756 3346597.88566169, 622149.0657214168 3346599.251376161, 622149.4640022907 3346600.564504609, 622150.1108493677 3346601.774666844, 622150.9814709197 3346602.835476922, 622152.0421610088 3346603.705991354, 622153.2523928593 3346604.352838445, 622154.5655774898 3346604.751224296, 622155.9311719233 3346604.885732209, 622157.2967861493 3346604.751232923, 622158.6099150978 3346604.352903943, 622159.8201541898 3346603.706032599, 622160.8809375083 3346602.83548126, 622161.7514733463 3346601.774711391, 622162.3982986093 3346600.564470842, 622162.7966420001 3346599.25136816, 622162.9312185547 3346597.885664678)",2018-05-02 05:00:00+00:00,Intersection
13,71,1188057.9700557103,0.0,-1188057.9700557103,30.3953_-97.7204,Kramer Lane & Burnet Road,"LINESTRING (622932.2412352747 3363281.362083226, 622932.106772782 3363279.996535295, 622931.7084397844 3363278.683315508, 622931.061613464 3363277.473141889, 622930.1910404095 3363276.412404658, 622929.1302752171 3363275.541829783, 622927.9200647394 3363274.894908897, 622926.6069207505 3363274.496663904, 622925.2413120302 3363274.362074738, 622923.8756405207 3363274.496610695, 622922.5625257305 3363274.894991782, 622921.3522992516 3363275.541825454, 622920.2915548515 3363276.412366136, 622919.4210272997 3363277.473156308, 622918.7741362061 3363278.683340177, 622918.3758118436 3363279.996534737, 622918.2413272182 3363281.362146684, 622918.3757914167 3363282.72769439, 622918.7741258265 3363284.040913647, 622919.4209530521 3363285.251086516, 622920.291526362 3363286.311822886, 622921.3522911265 3363287.182396924, 622922.5625005526 3363287.829317123, 622923.8756430332 3363288.227561684, 622925.241250012 3363288.362150738, 622926.6069198155 3363288.227615005, 622927.9200331951 3363287.829234446, 622929.1302587723 3363287.182401526, 622930.1910029158 3363286.311861706, 622931.0615308966 3363285.25107237, 622931.7084230381 3363284.040889187, 622932.1067489092 3363282.727695061, 622932.2412352747 3363281.362083226)",2023-07-05 05:00:00+00:00,Intersection
14,73,1118528.01183844,0.0,-1118528.01183844,30.3796_-97.6877,Kramer Lane & North Lamar Boulevard,"LINESTRING (626094.9358939041 3361576.762640684, 626094.8014089254 3361575.397039959, 626094.4029913798 3361574.083914105, 626093.7562028014 3361572.873655641, 626092.8855861601 3361571.812881626, 626091.8248811662 3361570.942440948, 626090.6146438235 3361570.29550241, 626089.3014815459 3361569.897213313, 626087.9358661731 3361569.762678933, 626086.5702095617 3361569.897161907, 626085.2571403468 3361570.295508047, 626084.0469056203 3361570.942448779, 626082.9861178731 3361571.812919159, 626082.11562173 3361572.873695824, 626081.4687578928 3361574.083931107, 626081.0703803992 3361575.397026006, 626080.935871342 3361576.762724807, 626081.0703580226 3361578.128325306, 626081.4686808902 3361579.441449516, 626082.1155664593 3361580.65170834, 626082.986087262 3361581.712480383, 626084.0468879163 3361582.582921336, 626085.2571242099 3361583.229859188, 626086.5702849763 3361583.628147854, 626087.9358986096 3361583.762682124, 626089.3015535177 3361583.628199377, 626090.6146213218 3361583.229853767, 626091.824855148 3361582.582913786, 626092.885642642 3361581.712444266, 626093.7561392161 3361580.651668438, 626094.4030041038 3361579.441433842, 626094.8013831059 3361578.128339374, 626094.9358939041 3361576.762640684)",2023-11-03 05:00:00+00:00,Intersection
15,84,0.0,845544.1051532032,845544.1051532032,30.2936_-97.6778,East 51st Street & Springdale Road,"LINESTRING (627152.1102273135 3352059.814390153, 627151.975688232 3352058.448793659, 627151.5773672888 3352057.135658219, 627150.9304513226 3352055.92548326, 627150.0599861128 3352054.864670983, 627148.9991607124 3352053.994176263, 627147.7889485643 3352053.347285617, 627146.4758070239 3352052.948925347, 627145.1102489206 3352052.81442564, 627143.7445407816 3352052.948939543, 627142.4314538301 3352053.347317591, 627141.2211850642 3352053.994182792, 627140.1604826355 3352054.864696363, 627139.2899426115 3352055.925413, 627138.6430317354 3352057.135599631, 627138.2447229158 3352058.448771331, 627138.1102243173 3352059.814450015, 627138.2446689216 3352061.180045163, 627138.6430874448 3352062.493181194, 627139.2899068417 3352063.703465111, 627140.1604697698 3352064.764166824, 627141.221197274 3352065.634770418, 627142.4314096661 3352066.281549553, 627143.7445497012 3352066.679909392, 627145.1102022463 3352066.814410109, 627146.4758125102 3352066.679895312, 627147.7889929427 3352066.281629741, 627148.9991646375 3352065.63476417, 627150.0599642773 3352064.764141749, 627150.9305047329 3352063.703425945, 627151.5773204819 3352062.493238878, 627151.9757269823 3352061.180068729, 627152.1102273135 3352059.814390153)",2018-07-17 05:00:00+00:00,Intersection
16,87,0.0,357182.23885793873,357182.23885793873,30.3311_-97.7004,East Saint John's Avenue & Bennett Avenue,"MULTILINESTRING ((624928.1457981158 3356188.998614255, 624926.1691202438 3356185.424138015))",2018-09-13 05:00:00+00:00,Intersection
17,89,0.0,1120748.0048746518,1120748.0048746518,30.3609_-97.6934,West Rundberg Lane & Georgian Drive,"LINESTRING (625563.741547453 3359491.270206529, 625563.6070516028 3359489.904620482, 625563.2086737549 3359488.591413924, 625562.5617866279 3359487.381197731, 625561.6913263317 3359486.320480996, 625560.6305634101 3359485.449883369, 625559.4203467367 3359484.803017899, 625558.1072017743 3359484.404695606, 625556.7415121507 3359484.27023946, 625555.3758947265 3359484.40468974, 625554.0627942954 3359484.802997989, 625552.8525626562 3359485.449894033, 625551.7918183439 3359486.320421294, 625550.9212207923 3359487.381241258, 625550.2744041784 3359488.591397099, 625549.8760284106 3359489.904618922, 625549.7415767087 3359491.270208181, 625549.876074262 3359492.635794003, 625550.2743574091 3359493.948998923, 625550.9212454376 3359495.159214365, 625551.7918020952 3359496.219931348, 625552.8525645878 3359497.090528138, 625554.0627802118 3359497.737392923, 625555.3759236656 3359498.135714784, 625556.7415154425 3359498.270169711, 625558.1071311623 3359498.135719657, 625559.420326293 3359497.737413046, 625560.6305570345 3359497.090517754, 625561.6913010901 3359496.219991352, 625562.5618029623 3359495.159171115, 625563.2087167364 3359493.949017067, 625563.6069979044 3359492.63579457, 625563.741547453 3359491.270206529)",2018-09-13 05:00:00+00:00,Intersection
18,181,1624022.5104456826,0.0,-1624022.5104456826,30.2584_-97.7501,Barton Springs Road & South 1st Street,"LINESTRING (620245.3990597039 3348078.395278814, 620245.264548103 3348077.029705081, 620244.8662027331 3348075.716539232, 620244.2193446789 3348074.506270624, 620243.3487673264 3348073.44550257, 620242.2880836364 3348072.575060887, 620241.0778214748 3348071.928199529, 620239.7646624668 3348071.529816334, 620238.3990489729 3348071.395318315, 620237.0334608442 3348071.529826839, 620235.7202988301 3348071.928154361, 620234.5100541586 3348072.575005971, 620233.4492820591 3348073.445511329, 620232.5787616108 3348074.506312816, 620231.9319454501 3348075.71654607, 620231.5335921324 3348077.029709201, 620231.3990744266 3348078.395317792, 620231.5335877244 3348079.7608913, 620231.9319345008 3348081.074056624, 620232.5787934546 3348082.284324485, 620233.4492748552 3348083.345090628, 620234.5100531105 3348084.21564336, 620235.7203142302 3348084.862504032, 620237.033472956 3348085.260775971, 620238.3990847183 3348085.395273879, 620239.7646711488 3348085.260765577, 620241.077831759 3348084.862438581, 620242.2880755322 3348084.215587718, 620243.3488473748 3348083.345083215, 620244.219368247 3348082.28428256, 620244.8661854508 3348081.074049992, 620245.2645402689 3348079.760887293, 620245.3990597039 3348078.395278814)",2023-06-06 05:00:00+00:00,Intersection
19,215,0.0,1767769.2200557103,1767769.2200557103,30.2715_-97.7540,North Lamar Boulevard & West 6th Street,"LINESTRING (619863.1352830587 3349532.096435538, 619863.0008491259 3349530.730754987, 619862.60242473 3349529.417599168, 619861.9556188774 3349528.20746018, 619861.0850329563 3349527.146716854, 619860.0242777534 3349526.276083189, 619858.8140641382 3349525.629257334, 619857.5009743875 3349525.23091301, 619856.1353483144 3349525.096454644, 619854.769660074 3349525.23089117, 619853.4564931871 3349525.629257195, 619852.2463328899 3349526.276145422, 619851.1855350755 3349527.146681949, 619850.3150660243 3349528.207399166, 619849.6681779219 3349529.417651187, 619849.2698183174 3349530.730826607, 619849.1352603169 3349532.096439446, 619849.2697933586 3349533.462010004, 619849.6681229649 3349534.775164243, 619850.3150246984 3349535.985414363, 619851.1855146809 3349537.046155779, 619852.2462706742 3349537.916677784, 619853.4564820318 3349538.56361378, 619854.7696664772 3349538.961958726, 619856.1352908178 3349539.096416981, 619857.5009785766 3349538.961869851, 619858.8140466465 3349538.563614124, 619860.024302238 3349537.916727698, 619861.0850997963 3349537.046192027, 619861.9555704865 3349535.985364818, 619862.6024584172 3349534.775224309, 619863.0008195228 3349533.462049319, 619863.1352830587 3349532.096435538)",2018-05-01 05:00:00+00:00,Intersection
20,218,0.0,412392.80988857936,412392.80988857936,30.2662_-97.7397,Trinity Street & East 5th Street,"MULTILINESTRING ((621202.4011443566 3348845.420848128, 621233.8103421071 3348947.792511618))",2019-06-02 05:00:00+00:00,Intersection
21,221,0.0,1803015.3586350973,1803015.3586350973,30.3078_-97.7516,West 35th Street & Jefferson Street,"LINESTRING (620043.3595669626 3353552.373727282, 620043.2250399475 3353551.008032569, 620042.8267124003 3353549.694967312, 620042.1799009317 3353548.484688702, 620041.3093848674 3353547.423911143, 620040.2485676303 3353546.553458539, 620039.0383411077 3353545.906589209, 620037.725267141 3353545.508199993, 620036.3595703359 3353545.37369578, 620034.993992668 3353545.508201023, 620033.6808124909 3353545.90652696, 620032.4705920126 3353546.553379514, 620031.4098621176 3353547.423998892, 620030.5392892309 3353548.484693615, 620029.8924020749 3353549.694932492, 620029.4940445824 3353551.00810349, 620029.3595822583 3353552.373721808, 620029.4941121937 3353553.739305471, 620029.8924399302 3353555.052481027, 620030.5393496783 3353556.262649119, 620031.4098660001 3353557.323425823, 620032.4705854325 3353558.19398736, 620033.6808109111 3353558.840856004, 620034.9939795349 3353559.239245845, 620036.3595784457 3353559.373748887, 620037.7252505737 3353559.239244926, 620039.0383344023 3353558.840807632, 620040.2485539778 3353558.193955826, 620041.309378557 3353557.323449187, 620042.1798569289 3353556.262643416, 620042.82674391 3353555.052516052, 620043.2251029059 3353553.739345485, 620043.3595669626 3353552.373727282)",2019-10-01 05:00:00+00:00,Intersection
22,223,574226.7164179104,673891.6414590747,99664.92504116427,30.3087_-97.7284,West 45th Street & Speedway,"LINESTRING (622267.3579816862 3353662.739153966, 622267.2234440091 3353661.373530187, 622266.8250966169 3353660.060371566, 622266.1782421317 3353658.85017124, 622265.3077489506 3353657.789428404, 622264.2470133624 3353656.918863231, 622263.0367256112 3353656.271962103, 622261.7236347153 3353655.873633686, 622260.3579633174 3353655.739182392, 622258.9923573597 3353655.873631566, 622257.679189872 3353656.272025808, 622256.4690286065 3353656.918859604, 622255.4082171294 3353657.789380329, 622254.5377146893 3353658.850129461, 622253.8908684083 3353660.060358569, 622253.4925304689 3353661.373571203, 622253.3579817471 3353662.739173451, 622253.4925211256 3353664.104797007, 622253.8908699263 3353665.417955101, 622254.5377253116 3353666.628154679, 622255.4082187476 3353667.688896657, 622256.4689539099 3353668.559460996, 622257.6792406145 3353669.206361437, 622258.9923300062 3353669.604689423, 622260.35799967 3353669.739140605, 622261.7236039275 3353669.604691656, 622263.0367700068 3353669.206297942, 622264.2469303734 3353668.559464894, 622265.3077415957 3353667.688945027, 622266.1782444629 3353666.62819673, 622266.8251879481 3353665.417969383, 622267.2235273905 3353664.10475718, 622267.3579816862 3353662.739153966)",2020-08-01 05:00:00+00:00,Intersection
23,224,480251.473880597,516276.91281138785,36025.43893079087,30.2654_-97.7090,Pleasant Valley Road & Webberville Road,"LINESTRING (624193.5088502311 3348903.177321983, 624193.3743641241 3348901.811676274, 624192.9760382995 3348900.498564891, 624192.3291757581 3348899.288372588, 624191.4586488582 3348898.227602554, 624190.3978612548 3348897.35709117, 624189.1876136077 3348896.710221647, 624187.874480737 3348896.311797192, 624186.508895113 3348896.177354173, 624185.1432379133 3348896.311810354, 624183.8300985461 3348896.710221004, 624182.619877137 3348897.357086621, 624181.5591352194 3348898.227553458, 624180.6885641653 3348899.288388027, 624180.0417282563 3348900.498517029, 624179.6433990306 3348901.811668627, 624179.5088705715 3348903.177362248, 624179.6433583753 3348904.543007732, 624180.0416856039 3348905.856118589, 624180.688549044 3348907.066310144, 624181.5591723991 3348908.127080412, 624182.6198633723 3348908.997589873, 624183.8301099747 3348909.644458713, 624185.1432413431 3348910.042882737, 624186.5088252357 3348910.177325645, 624187.8744807385 3348910.042869689, 624189.1876187017 3348909.644459565, 624190.3978392147 3348908.997594698, 624191.4585808767 3348908.127128716, 624192.3291523588 3348907.06629498, 624192.9759893124 3348905.856166663, 624193.3744162428 3348904.543016586, 624193.5088502311 3348903.177321983)",2020-08-01 05:00:00+00:00,Intersection
24,224,480251.473880597,516276.91281138785,36025.43893079087,30.2654_-97.7090,Webberville Road & Pleasant Valley Road,"LINESTRING (624193.5088502311 3348903.177321983, 624193.3743641241 3348901.811676274, 624192.9760382995 3348900.498564891, 624192.3291757581 3348899.288372588, 624191.4586488582 3348898.227602554, 624190.3978612548 3348897.35709117, 624189.1876136077 3348896.710221647, 624187.874480737 3348896.311797192, 624186.508895113 3348896.177354173, 624185.1432379133 3348896.311810354, 624183.8300985461 3348896.710221004, 624182.619877137 3348897.357086621, 624181.5591352194 3348898.227553458, 624180.6885641653 3348899.288388027, 624180.0417282563 3348900.498517029, 624179.6433990306 3348901.811668627, 624179.5088705715 3348903.177362248, 624179.6433583753 3348904.543007732, 624180.0416856039 3348905.856118589, 624180.688549044 3348907.066310144, 624181.5591723991 3348908.127080412, 624182.6198633723 3348908.997589873, 624183.8301099747 3348909.644458713, 624185.1432413431 3348910.042882737, 624186.5088252357 3348910.177325645, 624187.8744807385 3348910.042869689, 624189.1876187017 3348909.644459565, 624190.3978392147 3348908.997594698, 624191.4585808767 3348908.127128716, 624192.3291523588 3348907.06629498, 624192.9759893124 3348905.856166663, 624193.3744162428 3348904.543016586, 624193.5088502311 3348903.177321983)",2020-08-01 05:00:00+00:00,Intersection
25,225,658254.3470149253,623692.7758007117,-34561.57121421362,30.2736_-97.6904,Oak Springs Drive & Springdale Road,"LINESTRING (625965.7878517583 3349823.134485431, 625965.6534101181 3349821.768917024, 625965.2550453425 3349820.45572785, 625964.60814449 3349819.245528288, 625963.7375702572 3349818.18482594, 625962.676815663 3349817.31424242, 625961.4666701176 3349816.667389547, 625960.1535083306 3349816.269076153, 625958.7878563404 3349816.134515659, 625957.4222777589 3349816.269080025, 625956.1090753071 3349816.667386518, 625954.8988363787 3349817.314278548, 625953.8381243608 3349818.184799051, 625952.9675394015 3349819.245498263, 625952.3207411381 3349820.455752563, 625951.9224158447 3349821.768849473, 625951.7878622926 3349823.13453226, 625951.9224005465 3349824.500212377, 625952.3206718081 3349825.813289087, 625952.967573557 3349827.0234879, 625953.8381467683 3349828.084300218, 625954.8989022081 3349828.95477208, 625956.1090454328 3349829.601735097, 625957.422205715 3349830.00004806, 625958.7878572502 3349830.134497617, 625960.1535290522 3349830.000045413, 625961.4666339052 3349829.601738338, 625962.6768719358 3349828.954847059, 625963.7375837008 3349828.08432741, 625964.6081703675 3349827.023518204, 625965.2550658707 3349825.813265698, 625965.6533926675 3349824.500169217, 625965.7878517583 3349823.134485431)",2020-08-01 05:00:00+00:00,Intersection
