,moped_component_id,substantial_completion_date,pre_annualized_crash_rate,post_annualized_crash_rate,pre_annualized_fatal_crash_rate,post_annualized_fatal_crash_rate,pre_annualized_injury_rate,post_annualized_injury_rate,pre_annualized_death_rate,post_annualized_death_rate,pre_annualized_cost,post_annualized_cost
0,1,2022-10-10 05:00:00+00:00,0.14061259353721037,0.9516881988926285,0.0,0.0,0.055659151608479104,0.6344587992617523,0.0,0.0,37742.76364861288,244901.0965150364
1,2,2022-10-10 05:00:00+00:00,0.18130091576564672,1.1790181573638199,0.0,0.0,0.0923291700658386,0.7860121049092132,0.0,0.0,51019.420666199396,276676.26092804305
2,3,2022-10-10 05:00:00+00:00,0.15964524399841865,1.0589514375453009,0.0,0.0,0.09333106572215244,0.5294757187726504,0.0,0.0,47903.39752223319,493471.3698961102
3,4,2022-10-10 05:00:00+00:00,0.17083365282463397,1.1170009429394225,0.0,0.0,0.09499628358005348,0.8042406789163843,0.0,0.0,48697.96880028573,369280.5117357731
4,5,2022-10-10 05:00:00+00:00,0.18390852827021922,1.2825164594001464,0.0,0.0,0.08429140879051715,0.9865511226154973,0.0,0.0,48536.52575264869,540925.9805300771
5,7,2024-02-20 06:00:00+00:00,0.14365781710914455,,0.0,,0.04788593903638152,,0.0,,49514.06096361849,
6,9,2021-12-31 06:00:00+00:00,0.1672636278887199,0.899815233011702,0.0,0.0,0.1115090852591466,0.5998768220078012,0.0,0.0,55563.38419770048,239200.88277561075
7,10,2021-12-31 06:00:00+00:00,0.16271299699298364,,0.0,,0.24406949548947546,,0.0,,73464.91814233211,
8,14,2023-04-13 05:00:00+00:00,0.09330197013400318,,0.0,,0.0,,0.0,,9516.800953668324,
9,15,2022-03-01 06:00:00+00:00,0.21419146752675564,,0.0,,0.10709573376337782,,0.0,,41338.95323266384,
10,17,2022-04-14 05:00:00+00:00,0.11601837023703958,,0.0,,0.23203674047407916,,0.0,,54064.56053046045,
11,18,2024-06-18 05:00:00+00:00,0.14341456232054775,,0.0,,0.08067069130530811,,0.0,,42845.10049326364,
12,19,2024-06-18 05:00:00+00:00,0.14249214214044104,,0.0,,0.10686910660533079,,0.0,,50636.52578427128,
13,22,2023-01-25 06:00:00+00:00,0.21980085475324154,1.078228782287823,0.0,0.0,0.1546746755670959,0.0,0.0,0.0,110966.86856079391,164969.0036900369
14,23,2023-10-03 05:00:00+00:00,0.28971808176620284,,0.0,,0.0,,0.0,,22163.43325511452,
15,25,2022-07-21 05:00:00+00:00,0.30463944396177234,,0.0,,0.22847958297132928,,0.0,,92077.2719374457,
16,28,2023-07-29 05:00:00+00:00,0.22991075016730644,1.77485320915165,0.0,0.0,0.1409130404251233,2.662279813727475,0.0,0.0,52501.2322720762,846604.980765337
17,29,2023-05-31 05:00:00+00:00,0.1577838976186619,,0.0,,0.1577838976186619,,0.0,,154312.65187105135,
18,30,2023-12-07 06:00:00+00:00,0.31078493937460117,,0.0,,0.31078493937460117,,0.0,,411790.04467134655,
19,31,2022-08-26 05:00:00+00:00,0.15459642993390244,0.8680067333399347,0.0,0.0,0.05695657944933248,0.3720028857171149,0.0,0.0,38962.368670446944,168889.31011557014
20,32,2021-08-24 05:00:00+00:00,0.12792411528639183,,0.0,,0.0,,0.0,,19572.38963881795,
21,34,2022-07-12 05:00:00+00:00,0.15473143522849628,0.7235658274865868,0.0,0.0,0.051577145076165426,0.7235658274865868,0.0,0.0,95912.85898363723,426903.8382170863
22,35,2021-08-24 05:00:00+00:00,0.12626575441123516,,0.0,,0.06313287720561758,,0.0,,17929.73712639539,
23,36,2022-10-05 05:00:00+00:00,0.24233544356287842,,0.0,,0.36350316534431765,,0.0,,97055.34514693281,
24,40,2022-10-18 05:00:00+00:00,0.15416542093878055,,0.0,,0.15416542093878055,,0.0,,356892.94947327697,
25,41,2022-10-18 05:00:00+00:00,0.0799197702511738,,0.0,,0.0799197702511738,,0.0,,18621.306468523497,
26,42,2023-01-09 06:00:00+00:00,0.31426113142611317,1.1604447974583003,0.0,0.0,0.0,0.0,0.0,0.0,10684.878468487848,59182.68467037331
27,43,2021-12-16 06:00:00+00:00,0.14230535412601225,0.4714424007744433,0.0,0.0,0.10795578588869893,0.0,0.0,0.0,49384.864962903004,48087.12487899322
28,44,2022-03-31 05:00:00+00:00,8.453230472516875,,0.0,,8.453230472516875,,0.0,,2400717.4541947925,
29,45,2024-02-20 06:00:00+00:00,0.12428197264444495,6.112970711297071,0.0,0.0,0.03924693872982472,0.0,0.0,0.0,24156.490788207113,935284.5188284519
