moped_component_id,pre_completion,post_completion
356,3.0,382.0
357,5.0,237.0
358,0.0,115.0
359,44.0,2225.0
360,1.0,0.0
361,25.0,83.0
362,13.0,60.0
363,0.0,127.0
364,19.0,958.0
365,4.0,49.0
366,0.0,107.0
367,2.0,46.0
368,35.0,1808.0
369,16.0,377.0
370,40.0,1391.0
371,7.0,428.0
372,12.0,594.0
373,49.0,35.0
374,1.0,9.0
375,5.0,7.0
376,193.0,502.0
377,5.0,7.0
378,5.0,4.0
379,10.0,289.0
380,18.0,393.0
381,3.0,15.0
382,1.0,150.0
383,7.0,83.0
384,0.0,11.0
385,10.0,73.0
386,63.0,95.0
387,16.0,196.0
388,1.0,40.0
389,3.0,99.0
390,1.0,140.0
391,0.0,4.0
392,6.0,5.0
393,8.0,137.0
394,483.0,98.0
395,369.0,84.0
396,707.0,157.0
397,309.0,71.0
398,211.0,27.0
399,26.0,203.0
400,420.0,98.0
401,422.0,116.0
402,1.0,0.0
405,1.0,0.0
406,2.0,1.0
407,3.0,2.0
408,16.0,36.0
409,46.0,57.0
410,25.0,77.0
411,10.0,68.0
412,11.0,57.0
413,25.0,40.0
414,37.0,351.0
415,67.0,858.0
416,12.0,86.0
417,167.0,347.0
418,14.0,151.0
419,35.0,41.0
420,8.0,38.0
421,18.0,40.0
422,44.0,520.0
423,32.0,311.0
424,10.0,144.0
425,36.0,281.0
426,19.0,146.0
427,0.0,10.0
428,3.0,13.0
429,149.0,203.0
430,44.0,28.0
431,30.0,15.0
432,435.0,736.0
434,27.0,15.0
435,15.0,35.0
436,399.0,6.0
437,18.0,167.0
438,108.0,96.0
439,29.0,89.0
440,0.0,17.0
441,62.0,519.0
442,16.0,72.0
443,74.0,882.0
444,0.0,14.0
445,6.0,20.0
446,13.0,20.0
447,14.0,127.0
448,7.0,19.0
449,3.0,35.0
450,6.0,87.0
451,10.0,34.0
452,6.0,70.0
453,3.0,50.0
454,72.0,446.0
455,1.0,49.0
456,163.0,380.0
458,0.0,1.0
459,9.0,105.0
460,6.0,21.0
461,1.0,10.0
462,25.0,85.0
463,12.0,124.0
464,1.0,22.0
465,5.0,61.0
466,11.0,131.0
467,6.0,29.0
468,6.0,33.0
470,28.0,88.0
471,87.0,587.0
472,18.0,117.0
473,13.0,109.0
474,74.0,506.0
475,7.0,42.0
476,21.0,136.0
477,38.0,430.0
478,70.0,197.0
479,4.0,40.0
480,107.0,266.0
481,30.0,214.0
482,41.0,371.0
483,6.0,145.0
484,46.0,108.0
485,3.0,22.0
486,76.0,33.0
487,9.0,112.0
488,75.0,236.0
489,11.0,10.0
490,9.0,88.0
491,237.0,534.0
492,1877.0,1207.0
493,25.0,52.0
494,682.0,921.0
495,4821.0,3087.0
496,88.0,190.0
497,41.0,28.0
498,0.0,1.0
499,0.0,1.0
500,11.0,70.0
501,4.0,2.0
502,4.0,2.0
503,7.0,12.0
504,27.0,74.0
505,384.0,587.0
506,303.0,366.0
507,82.0,39.0
508,120.0,144.0
509,2.0,4.0
510,4.0,6.0
511,100.0,256.0
512,3.0,8.0
513,8.0,10.0
514,100.0,256.0
515,2.0,8.0
516,4.0,8.0
517,72.0,274.0
518,17.0,26.0
